,Name,Test Frequency,Control Frequency
164,Well_G21.fcs,89.3,17.1
165,Well_G22.fcs,89.3,16.4
166,Well_G23.fcs,91.2,36.5
167,Well_G24.fcs,0,0
168,Well_H01.fcs,100,0.99
169,Well_H02.fcs,96.8,23.7
170,Well_H03.fcs,96.5,23.8
171,Well_H04.fcs,95.5,20
172,Well_H05.fcs,97.2,21.2
173,Well_H06.fcs,95.1,23
174,Well_H07.fcs,95.5,21.1
175,Well_H08.fcs,94.3,18
176,Well_H09.fcs,92.1,19.3
177,Well_H10.fcs,92.5,18.1
178,Well_H11.fcs,94.1,17.8
179,Well_H12.fcs,88.4,19.2
180,Well_H13.fcs,89.4,18.1
181,Well_H14.fcs,89.2,15.6
182,Well_H15.fcs,92.5,18.9
183,Well_H16.fcs,90.9,18.5
184,Well_H17.fcs,89.8,17.1
185,Well_H18.fcs,87.1,17.3
186,Well_H19.fcs,90.4,16.5
187,Well_H20.fcs,78.4,16.3
188,Well_H21.fcs,91.1,16
189,Well_H22.fcs,93.5,14.6
190,Well_H23.fcs,89.3,37.9
191,Well_H24.fcs,0,0
192,Well_I01.fcs,100,89.7
193,Well_I02.fcs,99.5,20.4
194,Well_I03.fcs,98.7,23.9
195,Well_I04.fcs,99.3,21.8
196,Well_I05.fcs,98.7,21.8
197,Well_I06.fcs,98.2,21.5
198,Well_I07.fcs,98.9,20.2
199,Well_I08.fcs,98.7,19.4
200,Well_I09.fcs,95.6,19
201,Well_I10.fcs,96.8,20
202,Well_I11.fcs,98.1,18.3
203,Well_I12.fcs,109,19.2
204,Well_I13.fcs,91.3,18.1
205,Well_I14.fcs,96.1,17.9
206,Well_I15.fcs,95.6,18.5
207,Well_I16.fcs,95.6,17.8
208,Well_I17.fcs,93.5,17.1
209,Well_I18.fcs,94.3,19
210,Well_I19.fcs,94.3,16.9
211,Well_I20.fcs,96.3,16
212,Well_I21.fcs,96.2,15.6
213,Well_I22.fcs,91.9,15.9
214,Well_I23.fcs,91,51.4
215,Well_I24.fcs,16.7,7.14
216,Well_J01.fcs,100,39.8
217,Well_J02.fcs,99.5,23.7
218,Well_J03.fcs,98,23.2
219,Well_J04.fcs,99,22.4
220,Well_J05.fcs,98.5,22.1
221,Well_J06.fcs,98.4,20.9
222,Well_J07.fcs,96.5,21.5
223,Well_J08.fcs,95.4,19.3
224,Well_J09.fcs,96,18.5
225,Well_J10.fcs,95.9,19.5
226,Well_J11.fcs,97.9,18.3
227,Well_J12.fcs,97.3,19
228,Well_J13.fcs,96.8,18.4
229,Well_J14.fcs,96.2,17.4
230,Well_J15.fcs,95.3,20.1
231,Well_J16.fcs,95.5,18.5
232,Well_J17.fcs,95.5,18.8
233,Well_J18.fcs,94.7,17.1
234,Well_J19.fcs,95.3,17.1
235,Well_J20.fcs,93.6,17.4
236,Well_J21.fcs,97.2,16.7
237,Well_J22.fcs,94.9,17.3
238,Well_J23.fcs,91.7,53.8
239,Well_J24.fcs,14.9,0
240,Well_K01.fcs,100,54
241,Well_K02.fcs,99.6,20.2
242,Well_K03.fcs,99.3,23.3
243,Well_K04.fcs,98.7,22.9
244,Well_K05.fcs,99.5,21.3
245,Well_K06.fcs,98.1,21.3
246,Well_K07.fcs,98.7,19.3
247,Well_K08.fcs,97.8,19.6
248,Well_K09.fcs,94.6,20.1
249,Well_K10.fcs,95.9,19.8
250,Well_K11.fcs,95.5,17.3
251,Well_K12.fcs,95.7,18.3
252,Well_K13.fcs,94.3,18.9
253,Well_K14.fcs,94.5,19.4
254,Well_K15.fcs,95.2,18.6
255,Well_K16.fcs,94.8,20.2
256,Well_K17.fcs,93.6,17.6
257,Well_K18.fcs,94.1,18.3
258,Well_K19.fcs,93.5,19
259,Well_K20.fcs,92.1,18.2
260,Well_K21.fcs,92.6,16.9
261,Well_K22.fcs,92.3,16.2
262,Well_K23.fcs,90.1,54.5
263,Well_K24.fcs,17.4,3.03
264,Well_L01.fcs,100,32.6
265,Well_L02.fcs,99.2,21.8
266,Well_L03.fcs,99.1,24.6
267,Well_L04.fcs,98,23.5
268,Well_L05.fcs,98.6,23.2
269,Well_L06.fcs,97.7,19.1
270,Well_L07.fcs,96.9,19
271,Well_L08.fcs,97.2,19.1
272,Well_L09.fcs,95.7,18.2
273,Well_L10.fcs,95.7,21.1
274,Well_L11.fcs,93.6,19.1
275,Well_L12.fcs,95,20.4
276,Well_L13.fcs,91.9,18.4
277,Well_L14.fcs,92,17.2
278,Well_L15.fcs,96.3,19.4
279,Well_L16.fcs,94,20.6
280,Well_L17.fcs,94.5,17
281,Well_L18.fcs,93.2,17.4
282,Well_L19.fcs,92.7,19.8
283,Well_L20.fcs,92,17.2
284,Well_L21.fcs,92.1,16.6
285,Well_L22.fcs,90.6,18
286,Well_L23.fcs,87.5,56.4
287,Well_L24.fcs,16.9,10
288,Well_M01.fcs,100,39.3
289,Well_M02.fcs,99.1,19.9
290,Well_M03.fcs,98.8,20.5
291,Well_M04.fcs,98.8,24.8
292,Well_M05.fcs,98.3,21.5
293,Well_M06.fcs,98.1,20.4
294,Well_M07.fcs,95.4,18.1
295,Well_M08.fcs,97.2,19.6
296,Well_M09.fcs,94.9,18.6
297,Well_M10.fcs,96.9,17.8
298,Well_M11.fcs,94.1,17.7
299,Well_M12.fcs,94.8,18.4
300,Well_M13.fcs,87.8,19.4
301,Well_M14.fcs,95.8,16.6
